customer_id,age,gender,region,signup_date,marketing_opt_in,support_tickets
200071,23,F,ARA,2021-04-13,1,1
200072,53,F,BRE,2022-06-26,1,1
200073,18,M,NAQ,2023-08-31,1,1
200074,56,F,IDF,2023-02-18,1,3
200075,43,M,NAQ,2023-04-17,0,2
200076,39,F,NAQ,2021-04-02,1,1
200077,64,F,OCC,2021-08-07,1,1
200078,50,M,PAC,2021-10-29,1,2
200079,62,F,BFC,2021-11-17,0,2
200080,60,unknown,OCC,2021-08-01,0,1
200081,19,M,ARA,2023-12-01,1,1
200082,30,M,BFC,2021-06-30,1,2
200083,52,F,IDF,2023-02-15,1,1
200084,76,F,IDF,2022-10-05,1,2
200085,27,M,IDF,2022-10-31,1,1
200086,24,F,OCC,2021-08-24,1,2
200087,74,F,PAC,2021-12-03,1,2
200088,76,F,IDF,2022-10-27,1,2
200089,28,M,PAC,2021-11-24,1,0
200090,42,M,IDF,2023-01-31,1,0
200091,55,,OCC,2021-02-13,1,1
200092,29,M,ARA,2021-03-21,0,0
200093,37,F,ARA,2023-03-09,0,0
200094,41,M,NAQ,2022-11-07,1,0
200095,56,F,HDF,2021-02-17,1,1
200096,36,M,ARA,2023-09-12,0,0
200097,42,F,IDF,2021-01-06,1,2
200098,35,unknown,IDF,2023-11-13,1,1
200099,63,F,GES,2023-03-10,1,1
200100,27,F,BRE,2023-12-19,1,1
200101,31,F,OCC,2023-11-06,0,1
200102,32,F,NAQ,2021-12-09,1,1
200103,72,F,GES,2023-04-09,0,0
200104,74,M,OCC,2021-08-19,1,1
200105,48,F,OCC,2022-06-01,0,0
200106,27,M,ARA,2021-09-20,1,0
200107,63,F,NAQ,2022-06-17,1,1
200108,47,M,IDF,2023-08-14,1,1
200109,68,F,BRE,2022-04-23,1,1
200110,39,M,ARA,2021-04-12,1,1
200111,77,M,IDF,2021-12-22,1,2
200112,66,F,NAQ,2023-05-12,0,2
200113,31,M,HDF,2022-07-26,1,1
200114,61,F,IDF,2022-09-06,1,1
200115,35,F,BRE,2022-04-18,0,0
200116,38,M,OCC,2021-11-17,1,1
200117,33,M,OCC,2022-10-17,0,4
200118,58,F,ARA,2022-11-25,1,3
200119,33,F,HDF,2023-09-11,0,0
200120,56,M,HDF,2022-11-08,1,0
200121,52,M,HDF,2023-12-26,0,0
200122,63,unknown,IDF,2023-06-25,1,1
200123,77,M,ARA,2021-03-28,0,2
200124,18,M,IDF,2022-03-06,1,4
200125,77,F,PAC,2022-02-26,0,1
200126,24,M,NAQ,2021-01-04,1,0
200127,49,F,IDF,2021-07-17,1,0
200128,38,M,IDF,2023-04-15,1,2
200129,56,F,HDF,2022-01-21,1,1
200130,61,M,IDF,2021-06-11,1,0
200131,69,M,CVL,2021-11-11,1,0
200132,42,M,HDF,2021-10-28,0,0
200133,73,M,ARA,2021-07-11,1,1
200134,37,,HDF,2021-04-21,1,0
200135,30,M,IDF,2023-04-17,1,0
200136,40,F,GES,2023-06-22,0,3
200137,49,F,PAC,2022-06-28,1,1
200138,58,F,BFC,2022-11-05,1,0
200139,67,F,IDF,2023-10-04,1,1
200140,31,F,PAC,2023-07-12,0,1
200141,36,M,PAC,2021-02-05,1,0
200142,74,M,CVL,2023-11-10,1,1
200143,44,M,HDF,2021-03-15,0,0
200144,32,F,PAC,2021-01-30,1,2
200145,77,F,NAQ,2022-03-18,1,0
200146,44,F,NAQ,2023-03-28,1,0
200147,77,M,PAC,2021-03-29,0,0
200148,73,M,ARA,2021-11-17,1,0
200149,72,F,IDF,2021-10-15,0,0
200150,52,M,BFC,2022-03-12,1,4
200151,65,,BRE,2023-12-16,1,4
200152,75,F,IDF,2021-12-29,1,1
200153,34,F,PAC,2021-08-17,0,0
200154,20,F,IDF,2021-05-14,1,1
200155,37,M,OCC,2021-08-05,0,0
200156,56,M,NAQ,2021-05-26,1,0
200157,50,F,HDF,2022-09-21,1,0
200158,22,M,OCC,2022-04-06,1,2
200159,51,M,OCC,2022-06-30,1,1
200160,28,M,IDF,2023-07-01,0,2
200161,48,M,CVL,2022-09-28,0,1
200162,52,F,NAQ,2021-06-19,1,3
200163,56,M,IDF,2022-02-17,1,3
200164,42,F,PAC,2021-12-09,0,1
200165,42,unknown,ARA,2023-06-25,1,0
200166,58,F,BFC,2021-12-03,1,1
200167,62,M,BFC,2021-06-01,1,0
200168,66,F,NAQ,2023-03-17,1,3
200169,38,F,,2022-04-15,0,2
200170,43,M,NAQ,2021-04-15,0,0
200171,37,M,PAC,2023-01-26,1,1
200172,49,F,NAQ,2021-08-19,1,1
200173,25,M,CVL,2023-08-09,1,0
200174,43,M,IDF,2023-07-01,1,0
200175,29,F,IDF,2022-02-09,0,1
200176,49,M,ARA,2022-09-01,1,1
200177,69,M,GES,2022-09-14,1,1
200178,77,M,BRE,2022-12-17,0,1
200179,44,F,OCC,2021-03-17,1,0
200180,21,F,BRE,2021-12-22,1,1
200181,31,M,BRE,2021-07-06,0,1
200182,24,M,PAC,2023-02-03,1,0
200183,63,M,NAQ,2021-03-17,0,0
200184,77,unknown,OCC,2022-07-21,1,2
200185,51,M,OCC,2023-03-09,1,1
200186,28,M,ARA,2023-11-05,0,3
200187,19,M,IDF,2021-11-12,1,2
200188,76,M,OCC,2021-01-09,1,0
200189,36,F,NAQ,2023-03-04,0,3
200190,24,F,CVL,2021-01-02,1,2
200191,28,M,NAQ,2021-03-14,1,0
200192,33,F,IDF,2023-12-21,0,0
200193,57,F,BFC,2023-08-03,0,0
200194,71,M,IDF,2023-02-14,0,0
200195,34,F,,2023-07-04,1,1
200196,59,F,HDF,2021-03-24,1,1
200197,21,M,BRE,2021-04-08,1,1
200198,18,M,IDF,2021-11-26,0,1
200199,21,F,NAQ,2021-01-27,0,1
200200,73,F,OCC,2023-08-31,1,1
200201,52,,GES,2021-03-03,0,1
200202,66,M,PAC,2022-08-19,1,0
200203,19,M,IDF,2023-07-24,1,1
200204,19,F,IDF,2023-03-16,1,2
200205,68,M,NAQ,2021-09-15,1,0
200206,24,F,IDF,2022-05-31,1,1
200207,27,F,OCC,2022-08-24,0,0
200208,49,unknown,IDF,2023-04-21,1,1
200209,54,F,PAC,2022-04-12,0,0
200210,31,F,OCC,2021-11-09,0,1
200211,44,F,HDF,2023-05-22,1,0
200212,58,M,IDF,2023-08-29,0,2
200213,44,M,BFC,2022-06-20,1,0
200214,40,unknown,OCC,2021-01-31,1,1
200215,22,F,OCC,2022-07-03,1,1
200216,45,F,,2023-09-01,1,2
200217,66,M,IDF,2023-12-20,1,0
200218,55,F,CVL,2022-03-16,1,0
200219,71,M,ARA,2021-06-14,0,0
200220,25,M,NAQ,2022-09-19,1,2
200221,18,F,PAC,2023-06-29,0,0
200222,50,M,OCC,2023-11-01,0,2
200223,28,F,GES,2021-02-26,0,2
200224,53,F,NAQ,2021-11-15,0,1
200225,72,M,CVL,2022-06-08,0,0
200226,38,M,IDF,2021-04-18,0,1
200227,50,M,PAC,2023-08-29,1,2
200228,58,,HDF,2021-05-03,1,1
200229,27,unknown,IDF,2022-12-30,1,0
200230,71,unknown,IDF,2023-10-03,0,1
200231,30,M,ARA,2023-01-21,0,1
200232,66,F,GES,2023-04-16,1,1
200233,57,M,HDF,2021-10-16,0,1
200234,26,unknown,CVL,2023-06-26,1,1
200235,61,F,BFC,2022-04-04,1,1
200236,29,F,PAC,2021-03-09,1,0
200237,53,F,BFC,2022-02-06,0,1
200238,75,F,,2022-01-19,1,2
200239,75,M,IDF,2022-07-25,1,0
200240,70,F,BFC,2021-10-17,1,0
200241,47,M,BFC,2022-05-22,0,0
200242,51,M,NAQ,2022-04-14,1,1
200243,36,M,PAC,2021-12-24,1,2
200244,73,F,HDF,2023-02-02,0,0
200245,46,F,BRE,2021-12-01,1,0
200246,64,M,HDF,2023-04-19,1,2
200247,39,M,ARA,2021-10-02,0,2
200248,62,,ARA,2023-08-06,1,1
200249,31,M,ARA,2022-02-04,1,1
200250,62,F,HDF,2021-02-14,1,0
200251,20,M,BRE,2021-06-14,0,0
200252,24,F,ARA,2023-06-02,1,2
200253,39,F,NAQ,2023-08-13,0,0
200254,46,M,NAQ,2021-08-21,1,0
200255,60,F,OCC,2022-10-22,1,0
200256,39,F,BFC,2022-09-21,1,1
200257,19,F,IDF,2021-05-27,1,2
200258,37,,IDF,2022-05-10,0,3
200259,44,M,HDF,2023-01-30,0,0
200260,50,F,IDF,2023-11-26,1,0
200261,56,M,BFC,2023-07-18,0,1
200262,32,M,NAQ,2021-04-18,1,2
200263,54,F,IDF,2021-09-18,1,0
200264,55,F,CVL,2022-04-24,1,2
200265,64,M,IDF,2021-06-14,0,0
200266,49,M,NAQ,2022-09-17,1,3
200267,66,M,IDF,2021-01-10,0,3
200268,31,M,IDF,2021-05-05,1,1
200269,60,F,IDF,2021-02-21,1,2
200270,20,F,IDF,2021-11-20,1,3
200271,24,M,IDF,2023-04-15,1,1
200272,69,F,IDF,2021-07-14,0,2
200273,46,M,HDF,2023-12-17,1,2
200274,55,M,OCC,2021-10-23,1,1
200275,54,M,,2021-02-19,0,2
200276,59,F,NAQ,2022-01-03,1,1
200277,32,F,PAC,2023-03-31,1,0
200278,28,F,BRE,2021-04-27,1,1
200279,20,F,BRE,2021-03-20,1,2
200280,69,M,IDF,2023-07-20,0,2
200281,31,F,IDF,2022-10-11,1,2
200282,52,,NAQ,2022-01-11,0,0
200283,45,F,NAQ,2023-04-08,1,1
200284,27,F,HDF,2023-07-14,0,2
200285,42,M,ARA,2022-01-29,1,2
200286,22,F,IDF,2022-09-07,0,2
200287,28,unknown,ARA,2021-01-12,0,2
200288,26,F,PAC,2021-12-02,0,2
200289,67,M,IDF,2022-10-14,1,1
200290,52,F,BFC,2021-08-04,0,0
200291,73,F,IDF,2023-12-22,0,0
200292,44,M,CVL,2023-11-30,0,1
200293,30,unknown,IDF,2021-10-10,0,0
200294,54,M,BFC,2022-03-11,1,1
200295,73,F,BRE,2021-07-27,1,0
200296,49,F,GES,2022-07-06,0,0
200297,19,M,BFC,2021-05-16,0,3
200298,36,F,OCC,2022-03-05,0,2
200299,73,M,HDF,2022-09-01,1,0
200300,49,M,OCC,2022-11-01,0,1
200301,75,,IDF,2022-10-16,0,0
200302,48,M,PAC,2021-08-31,0,2
200303,18,M,PAC,2023-05-18,0,0
200304,70,F,BRE,2023-01-28,1,2
200305,63,,PAC,2023-04-05,0,1
200306,60,M,ARA,2022-05-28,1,0
200307,76,M,HDF,2023-09-05,1,3
200308,29,F,NAQ,2022-03-03,1,2
200309,72,F,IDF,2023-06-02,0,0
200310,31,M,PAC,2021-08-11,1,2
200311,76,M,ARA,2021-09-28,1,0
200312,29,M,NAQ,2022-07-31,1,1
200313,51,F,ARA,2022-09-01,1,0
200314,65,F,ARA,2023-03-29,0,0
200315,22,M,NAQ,2021-11-22,1,0
200316,22,F,ARA,2023-08-14,1,1
200317,68,M,OCC,2021-12-28,0,0
200318,21,M,NAQ,2022-08-08,0,1
200319,54,F,CVL,2023-10-18,1,1
200320,74,F,CVL,2022-08-14,0,0
200321,54,F,PAC,2023-01-17,1,1
200322,46,M,NAQ,2023-09-22,1,0
200323,43,M,,2023-12-04,1,0
200324,56,F,BFC,2022-07-01,0,0
200325,52,M,HDF,2022-04-02,1,0
200326,48,F,BFC,2021-08-04,1,1
200327,27,F,PAC,2022-08-12,1,0
200328,57,M,HDF,2023-10-03,0,1
200329,62,F,NAQ,2022-06-18,0,0
200330,60,F,OCC,2022-01-17,0,1
200331,22,M,IDF,2021-04-28,0,1
200332,60,F,OCC,2022-03-03,1,2
200333,61,M,BRE,2021-09-17,0,0
200334,29,F,IDF,2023-12-06,0,2
200335,68,F,HDF,2022-08-01,1,1
200336,49,F,IDF,2021-05-31,0,1
200337,46,F,OCC,2021-03-15,0,1
200338,61,F,IDF,2023-07-21,1,1
200339,48,F,CVL,2023-10-17,1,4
200340,50,,IDF,2023-04-16,1,1
200341,36,F,GES,2021-05-16,1,2
200342,73,F,BFC,2021-04-18,0,1
200343,76,F,HDF,2021-08-05,1,3
200344,25,F,BFC,2023-04-03,1,2
200345,61,F,BFC,2023-04-19,1,2
200346,19,M,CVL,2023-07-07,1,3
200347,40,F,NAQ,2021-04-17,1,0
200348,76,M,HDF,2021-06-17,1,2
200349,28,M,IDF,2023-09-13,1,1
200350,40,F,HDF,2023-10-14,0,0
200351,31,F,IDF,2023-03-06,1,3
200352,61,F,HDF,2021-04-27,0,1
200353,45,M,HDF,2021-03-17,1,1
200354,53,F,PAC,2021-03-02,1,0
200355,74,M,PAC,2023-01-28,0,2
200356,49,M,OCC,2023-07-16,0,1
200357,62,M,BFC,2022-11-23,1,2
200358,23,M,PAC,2021-10-15,0,1
200359,30,unknown,HDF,2023-04-10,0,1
200360,74,F,CVL,2021-03-06,0,2
200361,69,F,IDF,2023-06-26,1,1
200362,57,F,IDF,2023-09-04,0,2
200363,40,M,IDF,2023-02-26,1,2
200364,29,M,HDF,2023-08-21,1,0
200365,69,M,ARA,2022-10-04,0,0
200366,65,F,OCC,2022-05-28,1,1
200367,32,unknown,OCC,2021-12-20,0,1
200368,53,M,,2023-10-07,0,1
200369,55,M,BRE,2023-02-03,1,1
200370,46,unknown,OCC,2021-07-28,0,1
200371,73,F,NAQ,2023-11-14,1,1
200372,25,F,ARA,2021-03-06,1,1
200373,33,M,NAQ,2022-10-06,0,1
200374,23,F,IDF,2021-07-28,1,0
200375,59,F,IDF,2022-12-29,1,0
200376,56,F,CVL,2022-03-28,0,0
200377,77,F,ARA,2022-04-24,1,2
200378,50,M,ARA,2023-01-06,1,2
200379,27,M,OCC,2023-04-08,1,2
200380,45,F,PAC,2022-02-21,1,1
200381,23,F,CVL,2023-12-29,1,3
200382,58,F,BFC,2022-06-30,0,1
200383,58,M,PAC,2021-06-25,0,1
200384,69,M,ARA,2021-01-08,1,1
200385,38,M,GES,2021-08-10,1,0
200386,36,F,,2023-01-27,1,0
200387,22,F,GES,2022-08-14,0,0
200388,42,F,IDF,2022-01-05,1,2
200389,46,M,BRE,2022-06-12,0,2
200390,63,F,HDF,2023-07-07,0,1
200391,63,M,IDF,2022-09-18,1,0
200392,26,M,HDF,2021-03-05,0,2
200393,35,F,OCC,2021-02-23,1,1
200394,48,F,,2022-06-12,1,1
200395,38,F,ARA,2022-03-19,1,1
200396,19,F,BFC,2023-07-21,1,1
200397,68,F,NAQ,2022-10-01,1,0
200398,61,M,ARA,2023-04-09,1,1
200399,49,F,ARA,2022-10-03,1,2
200400,37,F,NAQ,2022-01-14,1,2
200401,68,M,CVL,2022-12-21,0,2
200402,20,M,BFC,2022-11-12,0,0
200403,44,F,IDF,2023-02-28,1,0
200404,66,M,GES,2021-07-27,0,2
200405,75,M,BRE,2022-12-04,1,1
200406,33,M,NAQ,2021-11-09,0,3
200407,57,M,BFC,2023-05-16,1,0
200408,29,F,IDF,2023-05-25,0,0
200409,24,M,GES,2022-11-16,1,0
200410,39,F,OCC,2023-11-03,0,1
200411,71,M,HDF,2022-08-12,1,1
200412,59,,IDF,2021-01-28,1,1
200413,47,F,BRE,2022-10-26,0,1
200414,34,F,IDF,2023-05-02,0,3
200415,26,M,NAQ,2021-04-21,1,4
200416,34,M,IDF,2021-04-25,1,1
200417,27,F,OCC,2021-10-27,0,1
200418,29,M,IDF,2023-07-14,1,1
200419,59,M,CVL,2022-08-01,0,2
200420,25,M,HDF,2023-12-06,0,0
200421,20,F,IDF,2023-08-14,1,2
200422,50,F,IDF,2022-08-31,0,1
200423,35,M,IDF,2023-01-14,1,1
200424,45,F,HDF,2021-12-29,0,1
200425,26,M,BFC,2021-04-09,1,2
200426,30,F,NAQ,2022-03-13,1,1
200427,44,M,BFC,2022-10-11,0,3
200428,59,F,IDF,2021-07-19,1,3
200429,42,F,BFC,2021-08-31,1,0
200430,50,M,CVL,2021-01-17,0,3
200431,49,M,OCC,2023-03-15,1,1
200432,34,M,OCC,2023-09-12,0,1
200433,34,M,BFC,2023-06-26,0,1
200434,43,M,IDF,2022-02-21,1,3
200435,19,M,IDF,2022-10-12,0,1
200436,59,F,IDF,2023-11-19,1,0
200437,54,M,PAC,2022-10-10,1,2
200438,36,M,OCC,2021-11-20,1,3
200439,40,F,HDF,2022-01-06,0,4
200440,37,F,BRE,2023-03-08,0,1
200441,57,M,IDF,2022-05-04,1,0
200442,63,M,OCC,2023-07-06,0,1
200443,24,M,IDF,2023-08-05,1,4
200444,42,unknown,NAQ,2021-02-09,1,1
200445,18,M,OCC,2023-03-04,1,2
200446,45,F,GES,2022-02-10,1,0
200447,32,F,HDF,2022-07-24,0,1
200448,38,F,IDF,2021-10-17,0,1
200449,45,F,HDF,2022-02-08,1,4
200450,37,M,IDF,2021-12-28,1,3
200451,41,M,BRE,2021-02-25,0,0
200452,63,F,OCC,2023-05-08,0,2
200453,66,F,IDF,2021-06-06,1,1
200454,18,M,IDF,2022-02-16,0,1
200455,40,F,IDF,2021-07-31,1,1
200456,68,M,GES,2021-06-25,0,0
200457,49,F,ARA,2022-02-13,1,1
200458,30,M,BFC,2023-10-04,1,1
200459,53,F,HDF,2023-10-31,1,2
200460,26,M,HDF,2022-02-22,1,0
200461,19,F,IDF,2022-07-08,0,6
200462,55,M,CVL,2023-12-16,1,3
200463,48,F,NAQ,2021-09-15,1,1
200464,63,F,,2023-11-01,1,1
200465,38,M,OCC,2021-04-26,1,1
200466,69,F,HDF,2021-09-05,1,1
200467,43,F,CVL,2022-01-06,0,1
200468,62,F,IDF,2021-02-10,1,2
200469,24,F,PAC,2023-06-13,0,1
200470,23,F,ARA,2023-07-26,1,1
200471,64,M,PAC,2022-02-24,1,1
200472,68,,IDF,2023-07-05,1,2
200473,74,M,IDF,2023-04-26,0,1
200474,37,unknown,NAQ,2023-05-28,1,2
200475,19,F,NAQ,2023-05-29,1,2
200476,76,M,ARA,2022-09-20,0,3
200477,54,M,HDF,2021-05-02,1,0
200478,32,M,HDF,2023-10-09,0,3
200479,63,F,ARA,2022-10-29,1,0
200480,72,F,ARA,2023-09-14,1,1
200481,35,F,IDF,2023-11-17,1,0
200482,64,M,HDF,2021-07-24,0,0
200483,65,unknown,NAQ,2022-03-17,0,0
200484,48,M,IDF,2021-07-30,1,0
200485,55,F,ARA,2021-02-25,1,1
200486,34,M,PAC,2023-11-25,0,1
200487,73,F,NAQ,2023-10-09,0,4
200488,76,M,HDF,2023-10-18,1,2
200489,76,F,HDF,2023-08-26,1,1
200490,62,M,OCC,2022-12-12,0,0
200491,20,M,HDF,2022-07-26,1,1
200492,39,F,HDF,2023-12-22,1,1
200493,44,F,NAQ,2022-08-28,1,0
200494,75,M,BFC,2022-12-05,1,1
200495,50,F,PAC,2021-08-20,1,1
200496,50,M,ARA,2023-03-29,0,0
200497,26,M,HDF,2023-06-17,1,0
200498,65,M,,2023-01-13,0,1
200499,38,,PAC,2022-06-30,1,1
200500,23,F,OCC,2021-08-05,0,2
200501,77,F,BRE,2021-02-07,0,1
200502,29,M,CVL,2022-11-18,0,0
200503,18,,PAC,2023-01-18,0,2
200504,22,F,PAC,2023-04-27,1,0
200505,45,F,BFC,2023-11-07,1,3
200506,24,M,NAQ,2022-06-29,1,1
200507,68,F,BFC,2023-06-27,1,1
200508,48,M,PAC,2023-02-24,1,2
200509,37,M,IDF,2021-10-31,0,0
200510,18,M,IDF,2023-07-15,1,1
200511,46,unknown,BFC,2021-02-28,0,1
200512,27,,IDF,2022-10-18,0,1
200513,76,M,NAQ,2023-10-27,0,1
200514,35,F,NAQ,2022-12-23,0,1
200515,46,M,IDF,2023-10-24,1,2
200516,19,,NAQ,2021-03-03,0,2
200517,25,M,OCC,2022-08-06,0,4
200518,30,M,IDF,2023-05-05,1,1
200519,21,unknown,BFC,2022-12-05,0,1
200520,61,M,BRE,2023-08-23,1,2
200521,74,M,ARA,2022-05-22,1,2
200522,77,F,IDF,2023-01-18,1,1
200523,33,F,HDF,2022-04-05,1,3
200524,65,F,IDF,2023-08-13,0,2
200525,48,F,ARA,2021-05-11,1,1
200526,20,F,GES,2021-10-06,1,4
200527,23,,GES,2021-04-16,0,3
200528,50,M,OCC,2023-02-08,1,1
200529,43,F,NAQ,2021-09-12,1,2
200530,18,M,OCC,2021-12-14,0,1
200531,73,M,OCC,2023-07-06,1,2
200532,61,,ARA,2022-01-30,0,1
200533,48,F,HDF,2021-06-09,1,2
200534,77,F,IDF,2021-01-23,1,2
200535,76,unknown,IDF,2021-09-06,1,0
200536,76,F,PAC,2023-09-29,1,1
200537,33,M,,2022-08-24,0,0
200538,70,M,IDF,2023-12-26,1,1
200539,48,unknown,BFC,2021-08-24,1,1
200540,61,F,GES,2022-01-20,1,5
200541,69,F,PAC,2021-06-28,0,0
200542,27,F,BFC,2022-03-13,0,2
200543,44,F,GES,2022-09-09,0,4
200544,25,F,IDF,2023-06-04,1,2
200545,34,M,ARA,2022-02-08,1,0
200546,42,M,ARA,2023-04-25,1,2
200547,69,M,IDF,2022-11-17,0,0
200548,69,M,OCC,2021-11-16,0,0
200549,41,F,ARA,2023-09-26,1,0
200550,37,M,PAC,2022-04-21,1,3
200551,49,M,IDF,2021-06-15,0,1
200552,72,M,IDF,2023-11-21,1,4
200553,76,,BRE,2023-09-28,0,0
200554,31,F,IDF,2021-02-24,1,1
200555,29,F,NAQ,2023-09-16,1,1
200556,60,F,NAQ,2023-11-04,0,1
200557,36,F,PAC,2023-06-27,1,0
200558,29,M,HDF,2021-10-07,1,2
200559,19,F,PAC,2022-11-23,1,1
200560,42,M,IDF,2022-08-13,1,0
200561,41,M,,2022-11-11,1,0
200562,51,F,BFC,2022-11-07,0,1
200563,30,F,HDF,2022-12-01,1,0
200564,60,M,HDF,2022-07-17,1,2
200565,58,M,OCC,2023-01-27,0,0
200566,45,F,OCC,2022-07-31,1,1
200567,28,,IDF,2021-01-19,1,0
200568,48,M,ARA,2021-02-08,0,1
200569,58,F,PAC,2023-11-16,1,2
200570,40,M,NAQ,2023-09-23,0,1
200571,33,F,BFC,2022-10-04,1,2
200572,48,F,PAC,2021-07-11,1,0
200573,39,M,OCC,2023-05-06,1,0
200574,42,M,BRE,2021-06-06,1,3
200575,38,M,PAC,2022-02-18,0,2
200576,36,F,BRE,2021-12-28,1,3
200577,61,,HDF,2021-01-14,1,2
200578,45,M,BRE,2023-06-03,0,1
200579,45,F,ARA,2022-07-13,1,1
200580,57,F,PAC,2021-12-13,1,2
200581,39,F,PAC,2022-07-10,1,0
200582,24,,IDF,2021-01-01,1,1
200583,69,F,ARA,2022-04-24,1,1
200584,21,M,CVL,2022-07-23,1,2
200585,52,F,HDF,2022-01-07,1,2
200586,33,unknown,IDF,2023-06-29,1,0
200587,30,F,NAQ,2021-10-01,1,1
200588,20,M,IDF,2021-05-31,1,3
200589,72,F,IDF,2022-08-01,1,0
200590,43,F,CVL,2023-08-30,0,2
200591,38,M,ARA,2022-02-15,0,2
200592,62,M,NAQ,2021-02-21,1,0
200593,20,M,HDF,2023-11-29,0,0
200594,51,F,IDF,2022-05-02,1,3
200595,47,M,NAQ,2021-07-09,1,2
200596,51,M,OCC,2022-11-06,1,1
200597,25,M,HDF,2021-12-17,1,2
200598,75,F,GES,2023-10-24,1,1
200599,32,M,HDF,2021-11-18,1,0
200600,58,,PAC,2022-08-26,1,0
200601,62,M,OCC,2022-08-18,1,1
200602,38,F,BRE,2021-09-23,0,0
200603,25,F,OCC,2022-07-01,0,1
200604,35,M,GES,2021-04-30,1,0
200605,66,M,BFC,2022-12-06,0,0
200606,72,M,BRE,2023-04-11,1,0
200607,74,F,IDF,2023-11-07,1,2
200608,31,F,OCC,2021-12-23,0,1
200609,54,M,ARA,2021-11-09,1,0
200610,27,F,PAC,2022-08-24,0,1
200611,60,F,HDF,2023-01-29,1,1
200612,42,M,GES,2023-12-23,1,0
200613,60,M,GES,2021-01-28,0,3
200614,59,M,NAQ,2021-09-18,0,2
200615,77,F,OCC,2021-10-15,1,2
200616,47,F,OCC,2021-10-07,0,1
200617,38,M,ARA,2022-05-23,1,1
200618,49,F,IDF,2023-08-14,1,0
200619,27,F,IDF,2021-02-03,0,2
200620,24,F,OCC,2023-06-13,0,6
200621,49,M,PAC,2022-11-08,0,1
200622,67,M,GES,2022-11-05,1,0
200623,49,M,PAC,2023-01-13,1,1
200624,64,M,GES,2021-05-07,0,2
200625,28,F,ARA,2023-03-29,1,1
200626,44,,BFC,2021-09-29,1,1
200627,54,F,IDF,2022-07-20,1,0
200628,38,F,PAC,2023-01-12,0,2
200629,18,,BFC,2022-10-24,0,1
200630,22,F,CVL,2021-12-20,0,1
200631,73,F,BFC,2022-03-10,1,2
